row_index,wav_path,speaker_id,gender,nativeness,reference_raw,reference_norm,prediction_base_raw,prediction_ablated_raw,prediction_base_norm,prediction_ablated_norm,wer_base,wer_ablated,wer_delta,cer_base,cer_ablated,cer_delta,ablation_layer,error,transcript_path,reference_fixed_raw,transcript_error,reference_fixed_norm,prediction_base_norm_fixed,prediction_ablated_norm_fixed,wer_base_fixed,wer_ablated_fixed,wer_delta_fixed,cer_base_fixed,cer_ablated_fixed,cer_delta_fixed
10,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence6/Sp17_NF_S6_3.wav,N_Sp17_F,F,native,6,6, وعد الله الذين آمنوا وعملوا الصالحات, وعد الله الذين آمنوا وعملوا الصالحات,وعد الله الذين امنوا وعملوا الصالحات,وعد الله الذين امنوا وعملوا الصالحات,6.0,6.0,0.0,36.0,36.0,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S6.txt,وعد الله الذين آمنوا و عملوا الصالحات,,وعد الله الذين امنوا و عملوا الصالحات,وعد الله الذين امنوا وعملوا الصالحات,وعد الله الذين امنوا وعملوا الصالحات,0.2857142857142857,0.2857142857142857,0.0,0.02702702702702703,0.02702702702702703,0.0
11,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence6/Sp17_NF_S6_1.wav,N_Sp17_F,F,native,6,6, وعد الله الذين آمنوا وعملوا الصالحات, وعد الله الذين آمنوا وعملوا الصالحات,وعد الله الذين امنوا وعملوا الصالحات,وعد الله الذين امنوا وعملوا الصالحات,6.0,6.0,0.0,36.0,36.0,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S6.txt,وعد الله الذين آمنوا و عملوا الصالحات,,وعد الله الذين امنوا و عملوا الصالحات,وعد الله الذين امنوا وعملوا الصالحات,وعد الله الذين امنوا وعملوا الصالحات,0.2857142857142857,0.2857142857142857,0.0,0.02702702702702703,0.02702702702702703,0.0
12,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence6/Sp17_NF_S6_5.wav,N_Sp17_F,F,native,6,6, وعد الله الذين آمنوا وعملوا الصالحات, وعد الله الذين آمنوا وعملوا الصالحات,وعد الله الذين امنوا وعملوا الصالحات,وعد الله الذين امنوا وعملوا الصالحات,6.0,6.0,0.0,36.0,36.0,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S6.txt,وعد الله الذين آمنوا و عملوا الصالحات,,وعد الله الذين امنوا و عملوا الصالحات,وعد الله الذين امنوا وعملوا الصالحات,وعد الله الذين امنوا وعملوا الصالحات,0.2857142857142857,0.2857142857142857,0.0,0.02702702702702703,0.02702702702702703,0.0
13,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence6/Sp17_NF_S6_2.wav,N_Sp17_F,F,native,6,6, وعد الله الذين آمنوا وعملوا الصالحات, وعد الله الذين آمنوا وعملوا الصالحات,وعد الله الذين امنوا وعملوا الصالحات,وعد الله الذين امنوا وعملوا الصالحات,6.0,6.0,0.0,36.0,36.0,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S6.txt,وعد الله الذين آمنوا و عملوا الصالحات,,وعد الله الذين امنوا و عملوا الصالحات,وعد الله الذين امنوا وعملوا الصالحات,وعد الله الذين امنوا وعملوا الصالحات,0.2857142857142857,0.2857142857142857,0.0,0.02702702702702703,0.02702702702702703,0.0
14,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence6/Sp17_NF_S6_4.wav,N_Sp17_F,F,native,6,6, وعد الله الذين آمنوا وعملوا الصالحات, وعد الله الذين آمنوا وعملوا الصالحات,وعد الله الذين امنوا وعملوا الصالحات,وعد الله الذين امنوا وعملوا الصالحات,6.0,6.0,0.0,36.0,36.0,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S6.txt,وعد الله الذين آمنوا و عملوا الصالحات,,وعد الله الذين امنوا و عملوا الصالحات,وعد الله الذين امنوا وعملوا الصالحات,وعد الله الذين امنوا وعملوا الصالحات,0.2857142857142857,0.2857142857142857,0.0,0.02702702702702703,0.02702702702702703,0.0
15,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence10/Sp17_NF_S10_2.wav,N_Sp17_F,F,native,10,10, سبحان الله وبحمده سبحان الله العظيم, سبحان الله وبحمده سبحان الله العظيم,سبحان الله وبحمده سبحان الله العظيم,سبحان الله وبحمده سبحان الله العظيم,6.0,6.0,0.0,17.5,17.5,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S10.txt,سبحان الله و بحمده سبحان الله العظيم,,سبحان الله و بحمده سبحان الله العظيم,سبحان الله وبحمده سبحان الله العظيم,سبحان الله وبحمده سبحان الله العظيم,0.2857142857142857,0.2857142857142857,0.0,0.027777777777777776,0.027777777777777776,0.0
16,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence10/Sp17_NF_S10_4.wav,N_Sp17_F,F,native,10,10, سبحان الله وبحمده سبحان الله العظيم, سبحان الله وبحمده سبحان الله العظيم,سبحان الله وبحمده سبحان الله العظيم,سبحان الله وبحمده سبحان الله العظيم,6.0,6.0,0.0,17.5,17.5,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S10.txt,سبحان الله و بحمده سبحان الله العظيم,,سبحان الله و بحمده سبحان الله العظيم,سبحان الله وبحمده سبحان الله العظيم,سبحان الله وبحمده سبحان الله العظيم,0.2857142857142857,0.2857142857142857,0.0,0.027777777777777776,0.027777777777777776,0.0
17,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence10/Sp17_NF_S10_1.wav,N_Sp17_F,F,native,10,10, سبحان الله وبحمده سبحان الله العظيم, سبحان الله وبحمده سبحان الله العظيم,سبحان الله وبحمده سبحان الله العظيم,سبحان الله وبحمده سبحان الله العظيم,6.0,6.0,0.0,17.5,17.5,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S10.txt,سبحان الله و بحمده سبحان الله العظيم,,سبحان الله و بحمده سبحان الله العظيم,سبحان الله وبحمده سبحان الله العظيم,سبحان الله وبحمده سبحان الله العظيم,0.2857142857142857,0.2857142857142857,0.0,0.027777777777777776,0.027777777777777776,0.0
18,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence10/Sp17_NF_S10_5.wav,N_Sp17_F,F,native,10,10, سبحان الله وبحمده سبحان الله العظيم, سبحان الله وبحمده سبحان الله العظيم,سبحان الله وبحمده سبحان الله العظيم,سبحان الله وبحمده سبحان الله العظيم,6.0,6.0,0.0,17.5,17.5,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S10.txt,سبحان الله و بحمده سبحان الله العظيم,,سبحان الله و بحمده سبحان الله العظيم,سبحان الله وبحمده سبحان الله العظيم,سبحان الله وبحمده سبحان الله العظيم,0.2857142857142857,0.2857142857142857,0.0,0.027777777777777776,0.027777777777777776,0.0
19,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence10/Sp17_NF_S10_3.wav,N_Sp17_F,F,native,10,10, سبحان الله وبحمده سبحان الله العظيم, سبحان الله وبحمده سبحان الله العظيم,سبحان الله وبحمده سبحان الله العظيم,سبحان الله وبحمده سبحان الله العظيم,6.0,6.0,0.0,17.5,17.5,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S10.txt,سبحان الله و بحمده سبحان الله العظيم,,سبحان الله و بحمده سبحان الله العظيم,سبحان الله وبحمده سبحان الله العظيم,سبحان الله وبحمده سبحان الله العظيم,0.2857142857142857,0.2857142857142857,0.0,0.027777777777777776,0.027777777777777776,0.0
20,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence1/Sp17_NF_S1_4.wav,N_Sp17_F,F,native,1,1, الحمد لله رب العالمين الرحمن الرحيم, الحمد لله رب العالمين الرحمن الرحيم,الحمد لله رب العالمين الرحمن الرحيم,الحمد لله رب العالمين الرحمن الرحيم,6.0,6.0,0.0,35.0,35.0,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S1.txt,الحمدُ للهِ ربِّ العالمين الرحمن الرحيم,,الحمد لله رب العالمين الرحمن الرحيم,الحمد لله رب العالمين الرحمن الرحيم,الحمد لله رب العالمين الرحمن الرحيم,0.0,0.0,0.0,0.0,0.0,0.0
21,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence1/Sp17_NF_S1_1.wav,N_Sp17_F,F,native,1,1, الحمد لله رب العالمين الرحمن الرحيم, الحمد لله رب العالمين الرحمن الرحيم,الحمد لله رب العالمين الرحمن الرحيم,الحمد لله رب العالمين الرحمن الرحيم,6.0,6.0,0.0,35.0,35.0,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S1.txt,الحمدُ للهِ ربِّ العالمين الرحمن الرحيم,,الحمد لله رب العالمين الرحمن الرحيم,الحمد لله رب العالمين الرحمن الرحيم,الحمد لله رب العالمين الرحمن الرحيم,0.0,0.0,0.0,0.0,0.0,0.0
22,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence1/Sp17_NF_S1_5.wav,N_Sp17_F,F,native,1,1, الحمد لله رب العالمين الرحمن الرحيم, الحمد لله رب العالمين الرحمن الرحيم,الحمد لله رب العالمين الرحمن الرحيم,الحمد لله رب العالمين الرحمن الرحيم,6.0,6.0,0.0,35.0,35.0,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S1.txt,الحمدُ للهِ ربِّ العالمين الرحمن الرحيم,,الحمد لله رب العالمين الرحمن الرحيم,الحمد لله رب العالمين الرحمن الرحيم,الحمد لله رب العالمين الرحمن الرحيم,0.0,0.0,0.0,0.0,0.0,0.0
23,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence1/Sp17_NF_S1_2.wav,N_Sp17_F,F,native,1,1, الحمد لله رب العالمين الرحمن الرحيم, الحمد لله رب العالمين الرحمن الرحيم,الحمد لله رب العالمين الرحمن الرحيم,الحمد لله رب العالمين الرحمن الرحيم,6.0,6.0,0.0,35.0,35.0,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S1.txt,الحمدُ للهِ ربِّ العالمين الرحمن الرحيم,,الحمد لله رب العالمين الرحمن الرحيم,الحمد لله رب العالمين الرحمن الرحيم,الحمد لله رب العالمين الرحمن الرحيم,0.0,0.0,0.0,0.0,0.0,0.0
24,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence1/Sp17_NF_S1_3.wav,N_Sp17_F,F,native,1,1, الحمد لله رب العالمين الرحمن الرحيم, الحمد لله رب العالمين الرحمن الرحيم,الحمد لله رب العالمين الرحمن الرحيم,الحمد لله رب العالمين الرحمن الرحيم,6.0,6.0,0.0,35.0,35.0,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S1.txt,الحمدُ للهِ ربِّ العالمين الرحمن الرحيم,,الحمد لله رب العالمين الرحمن الرحيم,الحمد لله رب العالمين الرحمن الرحيم,الحمد لله رب العالمين الرحمن الرحيم,0.0,0.0,0.0,0.0,0.0,0.0
25,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence8/Sp17_NF_S8_5.wav,N_Sp17_F,F,native,8,8, قل أعوذ برب الفلق من شر ما خلق, قل أعوذ برب الفلق من شر ما خلق,قل اعوذ برب الفلق من شر ما خلق,قل اعوذ برب الفلق من شر ما خلق,8.0,8.0,0.0,30.0,30.0,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S8.txt,قل أعوذ برب الفلق من شر ما خلق,,قل اعوذ برب الفلق من شر ما خلق,قل اعوذ برب الفلق من شر ما خلق,قل اعوذ برب الفلق من شر ما خلق,0.0,0.0,0.0,0.0,0.0,0.0
26,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence8/Sp17_NF_S8_4.wav,N_Sp17_F,F,native,8,8, قل أعوذ برب الفلق من شر ما خلق, قل أعوذ برب الفلق من شر ما خلق,قل اعوذ برب الفلق من شر ما خلق,قل اعوذ برب الفلق من شر ما خلق,8.0,8.0,0.0,30.0,30.0,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S8.txt,قل أعوذ برب الفلق من شر ما خلق,,قل اعوذ برب الفلق من شر ما خلق,قل اعوذ برب الفلق من شر ما خلق,قل اعوذ برب الفلق من شر ما خلق,0.0,0.0,0.0,0.0,0.0,0.0
27,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence8/Sp17_NF_S8_3.wav,N_Sp17_F,F,native,8,8, قل أعوذ برب الفلق من شر ما خلق, قل أعوذ برب الفلق من شر ما خلق,قل اعوذ برب الفلق من شر ما خلق,قل اعوذ برب الفلق من شر ما خلق,8.0,8.0,0.0,30.0,30.0,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S8.txt,قل أعوذ برب الفلق من شر ما خلق,,قل اعوذ برب الفلق من شر ما خلق,قل اعوذ برب الفلق من شر ما خلق,قل اعوذ برب الفلق من شر ما خلق,0.0,0.0,0.0,0.0,0.0,0.0
28,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence8/Sp17_NF_S8_2.wav,N_Sp17_F,F,native,8,8, قل أعوذ برب الفلق من شر ما خلق, قل أعوذ برب الفلق من شر ما خلق,قل اعوذ برب الفلق من شر ما خلق,قل اعوذ برب الفلق من شر ما خلق,8.0,8.0,0.0,30.0,30.0,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S8.txt,قل أعوذ برب الفلق من شر ما خلق,,قل اعوذ برب الفلق من شر ما خلق,قل اعوذ برب الفلق من شر ما خلق,قل اعوذ برب الفلق من شر ما خلق,0.0,0.0,0.0,0.0,0.0,0.0
29,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence8/Sp17_NF_S8_1.wav,N_Sp17_F,F,native,8,8, قل أعوذ برب الفلق من شر ما خلق, قل أعوذ برب الفلق من شر ما خلق,قل اعوذ برب الفلق من شر ما خلق,قل اعوذ برب الفلق من شر ما خلق,8.0,8.0,0.0,30.0,30.0,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S8.txt,قل أعوذ برب الفلق من شر ما خلق,,قل اعوذ برب الفلق من شر ما خلق,قل اعوذ برب الفلق من شر ما خلق,قل اعوذ برب الفلق من شر ما خلق,0.0,0.0,0.0,0.0,0.0,0.0
30,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence9/Sp17_NF_S9_1.wav,N_Sp17_F,F,native,9,9, صلى الله على نبينا محمد وعلى آله وصحبه أجمعين, صلى الله على نبينا محمد وعلى آله وصحبه أجمعين,صلي الله علي نبينا محمد وعلي اله وصحبه اجمعين,صلي الله علي نبينا محمد وعلي اله وصحبه اجمعين,9.0,9.0,0.0,45.0,45.0,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S9.txt,صلى الله على نبينا محمد و على آله و صحبه أجمعين,,صلي الله علي نبينا محمد و علي اله و صحبه اجمعين,صلي الله علي نبينا محمد وعلي اله وصحبه اجمعين,صلي الله علي نبينا محمد وعلي اله وصحبه اجمعين,0.36363636363636365,0.36363636363636365,0.0,0.0425531914893617,0.0425531914893617,0.0
31,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence9/Sp17_NF_S9_3.wav,N_Sp17_F,F,native,9,9, صلى الله على نبينا محمد وعلى آله وصحبه أجمعين, صلى الله على نبينا محمد وعلى آله وصحبه أجمعين,صلي الله علي نبينا محمد وعلي اله وصحبه اجمعين,صلي الله علي نبينا محمد وعلي اله وصحبه اجمعين,9.0,9.0,0.0,45.0,45.0,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S9.txt,صلى الله على نبينا محمد و على آله و صحبه أجمعين,,صلي الله علي نبينا محمد و علي اله و صحبه اجمعين,صلي الله علي نبينا محمد وعلي اله وصحبه اجمعين,صلي الله علي نبينا محمد وعلي اله وصحبه اجمعين,0.36363636363636365,0.36363636363636365,0.0,0.0425531914893617,0.0425531914893617,0.0
32,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence9/Sp17_NF_S9_4.wav,N_Sp17_F,F,native,9,9, صلى الله على نبينا محمد وعلى آله وصحبه أجمعين, صلى الله على نبينا محمد وعلى آله وصحبه أجمعين,صلي الله علي نبينا محمد وعلي اله وصحبه اجمعين,صلي الله علي نبينا محمد وعلي اله وصحبه اجمعين,9.0,9.0,0.0,45.0,45.0,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S9.txt,صلى الله على نبينا محمد و على آله و صحبه أجمعين,,صلي الله علي نبينا محمد و علي اله و صحبه اجمعين,صلي الله علي نبينا محمد وعلي اله وصحبه اجمعين,صلي الله علي نبينا محمد وعلي اله وصحبه اجمعين,0.36363636363636365,0.36363636363636365,0.0,0.0425531914893617,0.0425531914893617,0.0
33,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence9/Sp17_NF_S9_5.wav,N_Sp17_F,F,native,9,9, صلى الله على نبينا محمد وعلى آله وصحبه أجمعين, صلى الله على نبينا محمد وعلى آله وصحبه أجمعين,صلي الله علي نبينا محمد وعلي اله وصحبه اجمعين,صلي الله علي نبينا محمد وعلي اله وصحبه اجمعين,9.0,9.0,0.0,45.0,45.0,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S9.txt,صلى الله على نبينا محمد و على آله و صحبه أجمعين,,صلي الله علي نبينا محمد و علي اله و صحبه اجمعين,صلي الله علي نبينا محمد وعلي اله وصحبه اجمعين,صلي الله علي نبينا محمد وعلي اله وصحبه اجمعين,0.36363636363636365,0.36363636363636365,0.0,0.0425531914893617,0.0425531914893617,0.0
